article_name,country,revision_id,article_quality,population
Template:ZambiaProvincialMinisters,Zambia,235107991,Stub,15473900
Gladys Lundwe,Zambia,757566606,Stub,15473900
Mwamba Luchembe,Zambia,764848643,Stub,15473900
Thandiwe Banda,Zambia,768166426,Start,15473900
Sylvester Chisembele,Zambia,776082926,C,15473900
Victoria Kalima,Zambia,776530837,Start,15473900
Margaret Mwanakatwe,Zambia,779747587,Start,15473900
Nkandu Luo,Zambia,779747961,C,15473900
Susan Nakazwe,Zambia,779748181,Start,15473900
Catherine Namugala,Zambia,779748285,Start,15473900
Edith Nawakwi,Zambia,779748522,Start,15473900
Joyce Nonde-Simukoko,Zambia,779748628,Start,15473900
Gladys Nyirongo,Zambia,779748837,C,15473900
Vera Tembo,Zambia,779748931,Start,15473900
Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,15473900
Besnat Jere,Zambia,791225634,Stub,15473900
Esther Lungu,Zambia,792296625,C,15473900
Inonge Wina,Zambia,794006130,Start,15473900
Maureen Mwanawasa,Zambia,795820299,Start,15473900
First Lady of Zambia,Zambia,796467991,Start,15473900
Jean Kapata,Zambia,797469872,Start,15473900
Peter Sinkamba,Zambia,799512628,Stub,15473900
Gwendoline Konie,Zambia,803304465,Start,15473900
Kenneth Kaunda,Zambia,805875783,C,15473900
Inonge Mbikusita-Lewanika,Zambia,805993958,Start,15473900
Yobert K. Shamapande,Zambia,806345311,C,15473900
Bir I of Kanem,Chad,355319463,Stub,13707000
Abdullah II of Kanem,Chad,498683267,Stub,13707000
Salmama II of Kanem,Chad,565745353,Stub,13707000
Kuri I of Kanem,Chad,565745365,Stub,13707000
Mohammed I of Kanem,Chad,565745375,Stub,13707000
Kuri II of Kanem,Chad,669719757,Stub,13707000
Bir II of Kanem,Chad,670893206,Stub,13707000
Mahamat Hissene,Chad,693055898,Stub,13707000
Othman I,Chad,705432607,Stub,13707000
Alphonse Kotiga,Chad,707593108,Stub,13707000
Oueddei Kichidemi,Chad,708346649,Start,13707000
